#Name	Length	Bases	Coverage	Reads	RPKM	Frags	FPKM
k127_1738398 flag=1 multi=5.0000 len=451	451	0	0.0000	0	0.0000	0	0.0000
k127_1739000 flag=1 multi=5.0000 len=900	900	0	0.0000	0	0.0000	0	0.0000
k127_1739165 flag=1 multi=2.0000 len=436	436	150	0.3440	1	37.4083	0	0.0000
k127_1739287 flag=1 multi=2.0000 len=369	369	0	0.0000	0	0.0000	0	0.0000
k127_1739370 flag=1 multi=37.0000 len=5228	5228	0	0.0000	0	0.0000	0	0.0000
k127_1739859 flag=1 multi=28.0000 len=4842	4842	0	0.0000	0	0.0000	0	0.0000
k127_1739929 flag=1 multi=2.0000 len=501	501	0	0.0000	0	0.0000	0	0.0000
k127_1740278 flag=1 multi=12.0000 len=1343	1343	0	0.0000	0	0.0000	0	0.0000
k127_1740609 flag=1 multi=9.0000 len=1999	1999	0	0.0000	0	0.0000	0	0.0000
k127_1741209 flag=1 multi=5.0000 len=1141	1141	3503	3.0701	24	343.0679	12	343.0679
k127_1742387 flag=1 multi=7.7924 len=1384	1384	0	0.0000	0	0.0000	0	0.0000
k127_1742587 flag=1 multi=19.0000 len=1828	1828	0	0.0000	0	0.0000	0	0.0000
k127_1743267 flag=0 multi=326.6118 len=905	905	0	0.0000	0	0.0000	0	0.0000
k127_1743799 flag=1 multi=27.0000 len=720	720	0	0.0000	0	0.0000	0	0.0000
k127_1744218 flag=1 multi=17.0000 len=617	617	1000	1.6207	7	185.0408	3	158.6064
k127_1745721 flag=1 multi=3.0000 len=428	428	150	0.3505	1	38.1075	0	0.0000
k127_1746254 flag=1 multi=4.0000 len=423	423	1189	2.8109	8	308.4637	4	308.4637
k127_1746978 flag=1 multi=1.0000 len=343	343	294	0.8571	2	95.1022	1	95.1022
k127_1747294 flag=1 multi=8.0000 len=3500	3500	0	0.0000	0	0.0000	0	0.0000
k127_1747770 flag=1 multi=4.0000 len=357	357	0	0.0000	0	0.0000	0	0.0000
k127_1748067 flag=1 multi=21.1779 len=408	408	0	0.0000	0	0.0000	0	0.0000
k127_1748204 flag=1 multi=13.0000 len=4552	4552	34568	7.5940	236	845.5986	118	845.5986
k127_1748597 flag=1 multi=12.0000 len=1862	1862	0	0.0000	0	0.0000	0	0.0000
k127_1748928 flag=1 multi=2.0000 len=511	511	0	0.0000	0	0.0000	0	0.0000
k127_1749884 flag=1 multi=2.0000 len=312	312	0	0.0000	0	0.0000	0	0.0000
k127_1750608 flag=1 multi=3.0000 len=732	732	0	0.0000	0	0.0000	0	0.0000
k127_1751071 flag=1 multi=3.0000 len=576	576	0	0.0000	0	0.0000	0	0.0000
k127_1752654 flag=1 multi=5.0000 len=501	501	0	0.0000	0	0.0000	0	0.0000
k127_1752987 flag=1 multi=4.0000 len=1092	1092	0	0.0000	0	0.0000	0	0.0000
k127_1755455 flag=1 multi=5.0000 len=893	893	0	0.0000	0	0.0000	0	0.0000
k127_1755684 flag=1 multi=5.0000 len=390	390	0	0.0000	0	0.0000	0	0.0000
k127_1755756 flag=1 multi=20.0000 len=3052	3052	0	0.0000	0	0.0000	0	0.0000
k127_1756094 flag=0 multi=31.0925 len=1100	1100	0	0.0000	0	0.0000	0	0.0000
k127_1757215 flag=1 multi=4.0000 len=810	810	3243	4.0037	22	442.9882	11	442.9882
k127_1757793 flag=1 multi=9.0000 len=690	690	2241	3.2478	15	354.5657	7	330.9280
k127_1757915 flag=1 multi=12.0000 len=480	480	0	0.0000	0	0.0000	0	0.0000
k127_1758059 flag=1 multi=90.0000 len=2936	2936	0	0.0000	0	0.0000	0	0.0000
k127_1758940 flag=1 multi=7.0000 len=662	662	0	0.0000	0	0.0000	0	0.0000
k127_1759363 flag=1 multi=2.0000 len=660	660	0	0.0000	0	0.0000	0	0.0000
k127_1760042 flag=1 multi=6.0000 len=1862	1862	0	0.0000	0	0.0000	0	0.0000
k127_1760400 flag=1 multi=5.0000 len=1810	1810	0	0.0000	0	0.0000	0	0.0000
k127_1760499 flag=1 multi=21.0000 len=2494	2494	0	0.0000	0	0.0000	0	0.0000
k127_1760663 flag=1 multi=48.0000 len=3979	3979	0	0.0000	0	0.0000	0	0.0000
k127_1760690 flag=0 multi=6.9521 len=649	649	0	0.0000	0	0.0000	0	0.0000
k127_1761757 flag=1 multi=4.0000 len=1255	1255	0	0.0000	0	0.0000	0	0.0000
k127_1761936 flag=1 multi=1.0000 len=352	352	0	0.0000	0	0.0000	0	0.0000
k127_1762297 flag=0 multi=186.0669 len=6448	6448	0	0.0000	0	0.0000	0	0.0000
k127_1762778 flag=1 multi=2.0000 len=455	455	0	0.0000	0	0.0000	0	0.0000
k127_1763144 flag=0 multi=48.2433 len=464	464	0	0.0000	0	0.0000	0	0.0000
k127_1764662 flag=1 multi=3.0000 len=464	464	0	0.0000	0	0.0000	0	0.0000
k127_1764898 flag=1 multi=11.0000 len=1386	1386	0	0.0000	0	0.0000	0	0.0000
k127_1764916 flag=1 multi=3.0000 len=339	339	0	0.0000	0	0.0000	0	0.0000
k127_1766184 flag=1 multi=5.0000 len=518	518	670	1.2934	5	157.4326	2	125.9461
k127_1766442 flag=0 multi=82.3387 len=2318	2318	3266	1.4090	23	161.8337	11	154.7974
k127_1768493 flag=1 multi=4.0000 len=427	427	2092	4.8993	14	534.7548	7	534.7548
k127_1768497 flag=1 multi=49.0000 len=1195	1195	0	0.0000	0	0.0000	0	0.0000
k127_1769200 flag=1 multi=6.0000 len=632	632	0	0.0000	0	0.0000	0	0.0000
k127_1769392 flag=1 multi=3.0000 len=497	497	1765	3.5513	12	393.8033	6	393.8033
k127_1769724 flag=1 multi=3.0000 len=391	391	0	0.0000	0	0.0000	0	0.0000
k127_1770076 flag=1 multi=2.0000 len=392	392	0	0.0000	0	0.0000	0	0.0000
k127_1770347 flag=1 multi=2.0000 len=346	346	0	0.0000	0	0.0000	0	0.0000
k127_1770477 flag=1 multi=3.8415 len=1736	1736	0	0.0000	0	0.0000	0	0.0000
k127_1770479 flag=1 multi=2.0000 len=356	356	0	0.0000	0	0.0000	0	0.0000
k127_1770539 flag=1 multi=12.0000 len=886	886	1565	1.7664	11	202.4946	5	184.0860
k127_1770810 flag=1 multi=1.0000 len=330	330	0	0.0000	0	0.0000	0	0.0000
k127_1772032 flag=1 multi=4.0000 len=372	372	0	0.0000	0	0.0000	0	0.0000
k127_1772107 flag=0 multi=25.0000 len=4730	4730	1886	0.3987	13	44.8267	6	41.3785
k127_1772329 flag=1 multi=9.0000 len=1072	1072	0	0.0000	0	0.0000	0	0.0000
k127_1772681 flag=1 multi=6.0000 len=4212	4212	0	0.0000	0	0.0000	0	0.0000
k127_1772731 flag=1 multi=1.0000 len=489	489	0	0.0000	0	0.0000	0	0.0000
k127_1773106 flag=1 multi=4.0000 len=672	672	0	0.0000	0	0.0000	0	0.0000
k127_1773136 flag=1 multi=5.0000 len=1424	1424	0	0.0000	0	0.0000	0	0.0000
k127_1773279 flag=1 multi=15.0000 len=836	836	0	0.0000	0	0.0000	0	0.0000
k127_1774512 flag=1 multi=7.0000 len=1768	1768	0	0.0000	0	0.0000	0	0.0000
k127_1774761 flag=1 multi=5.0000 len=502	502	2819	5.6155	20	649.8016	10	649.8016
k127_1775314 flag=1 multi=15.0000 len=5418	5418	0	0.0000	0	0.0000	0	0.0000
k127_1776154 flag=0 multi=143.7103 len=2146	2146	0	0.0000	0	0.0000	0	0.0000
k127_1776731 flag=1 multi=85.0000 len=2957	2957	0	0.0000	0	0.0000	0	0.0000
k127_1777835 flag=1 multi=5.0000 len=1311	1311	2854	2.1770	21	261.2589	10	248.8180
k127_1778630 flag=1 multi=72.0000 len=3810	3810	0	0.0000	0	0.0000	0	0.0000
k127_1779131 flag=1 multi=2.0000 len=912	912	0	0.0000	0	0.0000	0	0.0000
k127_1779308 flag=1 multi=5.0000 len=964	964	0	0.0000	0	0.0000	0	0.0000
k127_1779424 flag=1 multi=6.0000 len=508	508	0	0.0000	0	0.0000	0	0.0000
k127_1779607 flag=1 multi=11.0000 len=4114	4114	0	0.0000	0	0.0000	0	0.0000
k127_1780093 flag=1 multi=3.0000 len=555	555	0	0.0000	0	0.0000	0	0.0000
k127_1780371 flag=1 multi=10.0000 len=522	522	0	0.0000	0	0.0000	0	0.0000
k127_1780702 flag=1 multi=15.0000 len=2196	2196	0	0.0000	0	0.0000	0	0.0000
k127_1781871 flag=1 multi=14.0000 len=4053	4053	0	0.0000	0	0.0000	0	0.0000
k127_1782209 flag=1 multi=2.0000 len=357	357	1050	2.9412	7	319.8043	3	274.1180
k127_1782283 flag=1 multi=2.0000 len=552	552	0	0.0000	0	0.0000	0	0.0000
k127_1783235 flag=0 multi=26.3735 len=542	542	0	0.0000	0	0.0000	0	0.0000
k127_1784601 flag=0 multi=18.0525 len=889	889	0	0.0000	0	0.0000	0	0.0000
k127_1784798 flag=1 multi=2.0000 len=322	322	0	0.0000	0	0.0000	0	0.0000
k127_1785038 flag=1 multi=3.0000 len=1125	1125	2001	1.7787	14	202.9691	7	202.9691
k127_1786089 flag=1 multi=2.0000 len=465	465	296	0.6366	2	70.1506	1	70.1506
k127_1786278 flag=1 multi=20.0000 len=927	927	0	0.0000	0	0.0000	0	0.0000
k127_1786624 flag=1 multi=2.0000 len=464	464	297	0.6401	2	70.3018	1	70.3018
k127_1786756 flag=0 multi=35.6900 len=3056	3056	0	0.0000	0	0.0000	0	0.0000
k127_1788146 flag=1 multi=8.0000 len=458	458	0	0.0000	0	0.0000	0	0.0000
k127_1789244 flag=1 multi=4.0000 len=459	459	0	0.0000	0	0.0000	0	0.0000
k127_1789766 flag=1 multi=6.0000 len=1362	1362	0	0.0000	0	0.0000	0	0.0000
k127_1790270 flag=1 multi=5.0000 len=1068	1068	0	0.0000	0	0.0000	0	0.0000
k127_1791635 flag=1 multi=3.0000 len=692	692	0	0.0000	0	0.0000	0	0.0000
k127_1792343 flag=1 multi=14.0000 len=843	843	0	0.0000	0	0.0000	0	0.0000
k127_1793209 flag=1 multi=2.0000 len=318	318	0	0.0000	0	0.0000	0	0.0000
k127_1793287 flag=1 multi=1.0000 len=890	890	0	0.0000	0	0.0000	0	0.0000
k127_1793798 flag=1 multi=3.0000 len=354	354	0	0.0000	0	0.0000	0	0.0000
k127_1793820 flag=1 multi=4.0000 len=423	423	1028	2.4303	7	269.9058	3	231.3478
k127_1794111 flag=1 multi=2.0000 len=454	454	0	0.0000	0	0.0000	0	0.0000
k127_1795520 flag=1 multi=5.0000 len=398	398	0	0.0000	0	0.0000	0	0.0000
k127_1795640 flag=1 multi=2.0000 len=386	386	0	0.0000	0	0.0000	0	0.0000
k127_1796007 flag=1 multi=2.0000 len=626	626	862	1.3770	6	156.3261	3	156.3261
k127_1796495 flag=1 multi=89.0000 len=2873	2873	0	0.0000	0	0.0000	0	0.0000
k127_1796865 flag=1 multi=22.0000 len=3553	3553	48586	13.6746	336	1542.4055	168	1542.4055
k127_1796967 flag=1 multi=4.0000 len=319	319	0	0.0000	0	0.0000	0	0.0000
k127_1797020 flag=1 multi=7.0000 len=811	811	1188	1.4649	8	160.8880	4	160.8880
k127_1797625 flag=1 multi=2.0000 len=331	331	0	0.0000	0	0.0000	0	0.0000
k127_1797775 flag=1 multi=2.0000 len=510	510	0	0.0000	0	0.0000	0	0.0000
k127_1797806 flag=1 multi=3.0000 len=773	773	0	0.0000	0	0.0000	0	0.0000
k127_1798453 flag=1 multi=2.0000 len=340	340	0	0.0000	0	0.0000	0	0.0000
k127_1798949 flag=1 multi=10.0000 len=572	572	3332	5.8252	23	655.8225	11	627.3085
k127_1799158 flag=1 multi=3.0000 len=317	317	900	2.8391	6	308.7070	3	308.7070
k127_1799474 flag=1 multi=9.0000 len=788	788	0	0.0000	0	0.0000	0	0.0000
k127_1799524 flag=1 multi=104.7890 len=3260	3260	0	0.0000	0	0.0000	0	0.0000
k127_1801227 flag=1 multi=519.0000 len=2225	2225	0	0.0000	0	0.0000	0	0.0000
k127_1801663 flag=1 multi=8.0000 len=1338	1338	0	0.0000	0	0.0000	0	0.0000
k127_1802089 flag=1 multi=5.0000 len=811	811	0	0.0000	0	0.0000	0	0.0000
k127_1802569 flag=1 multi=43.0000 len=3479	3479	0	0.0000	0	0.0000	0	0.0000
k127_1802793 flag=1 multi=9.0000 len=398	398	0	0.0000	0	0.0000	0	0.0000
k127_1803225 flag=1 multi=11.0000 len=1255	1255	11179	8.9076	78	1013.6905	39	1013.6905
k127_1803503 flag=1 multi=9.0000 len=2681	2681	0	0.0000	0	0.0000	0	0.0000
k127_1805375 flag=1 multi=8.0000 len=939	939	0	0.0000	0	0.0000	0	0.0000
k127_1806900 flag=1 multi=3.0000 len=367	367	0	0.0000	0	0.0000	0	0.0000
k127_1807055 flag=1 multi=2.0000 len=301	301	0	0.0000	0	0.0000	0	0.0000
k127_1807474 flag=1 multi=11.1932 len=1183	1183	0	0.0000	0	0.0000	0	0.0000
k127_1807678 flag=1 multi=20.0000 len=898	898	1777	1.9788	12	217.9513	6	217.9513
k127_1808322 flag=1 multi=1.0000 len=318	318	0	0.0000	0	0.0000	0	0.0000
k127_1809037 flag=1 multi=8.0000 len=3553	3553	7188	2.0231	49	224.9341	24	220.3436
k127_1810560 flag=1 multi=12.0000 len=645	645	0	0.0000	0	0.0000	0	0.0000
k127_1810859 flag=1 multi=6.0000 len=407	407	0	0.0000	0	0.0000	0	0.0000
k127_1811416 flag=1 multi=9.0000 len=2411	2411	5524	2.2912	37	250.2989	18	243.5341
k127_1812216 flag=1 multi=2.0000 len=432	432	450	1.0417	3	113.2640	1	75.5094
k127_1813057 flag=1 multi=2.0000 len=399	399	0	0.0000	0	0.0000	0	0.0000
k127_1813775 flag=1 multi=2.0000 len=308	308	0	0.0000	0	0.0000	0	0.0000
k127_1814022 flag=1 multi=3.0000 len=355	355	0	0.0000	0	0.0000	0	0.0000
k127_1816654 flag=1 multi=15.0000 len=1765	1765	0	0.0000	0	0.0000	0	0.0000
k127_1817106 flag=1 multi=7.0000 len=444	444	3260	7.3423	22	808.1542	11	808.1542
k127_1818569 flag=1 multi=6.0000 len=873	873	0	0.0000	0	0.0000	0	0.0000
k127_1818815 flag=1 multi=6.0000 len=344	344	0	0.0000	0	0.0000	0	0.0000
k127_1819741 flag=1 multi=1.0000 len=366	366	300	0.8197	2	89.1258	1	89.1258
k127_1820336 flag=1 multi=3.0000 len=786	786	0	0.0000	0	0.0000	0	0.0000
k127_1820602 flag=1 multi=5.0000 len=618	618	1068	1.7282	8	211.1330	4	211.1330
k127_1820655 flag=1 multi=7.0000 len=325	325	0	0.0000	0	0.0000	0	0.0000
k127_1820739 flag=1 multi=7.0000 len=1579	1579	0	0.0000	0	0.0000	0	0.0000
k127_1820788 flag=1 multi=2.0000 len=324	324	0	0.0000	0	0.0000	0	0.0000
k127_1821115 flag=1 multi=4.0000 len=307	307	0	0.0000	0	0.0000	0	0.0000
k127_1821207 flag=1 multi=7.0000 len=467	467	0	0.0000	0	0.0000	0	0.0000
k127_1821403 flag=1 multi=4.0000 len=519	519	0	0.0000	0	0.0000	0	0.0000
k127_1821594 flag=1 multi=8.0000 len=1740	1740	0	0.0000	0	0.0000	0	0.0000
k127_1823143 flag=1 multi=10.0000 len=549	549	4034	7.3479	28	831.8408	14	831.8408
k127_1823739 flag=1 multi=13.0000 len=756	756	3812	5.0423	26	560.9266	13	560.9266
k127_1824437 flag=1 multi=5.0000 len=366	366	0	0.0000	0	0.0000	0	0.0000
k127_1824608 flag=1 multi=4.0000 len=524	524	0	0.0000	0	0.0000	0	0.0000
k127_1825245 flag=1 multi=3.0000 len=387	387	1385	3.5788	10	421.4476	5	421.4476
k127_1825664 flag=1 multi=41.0000 len=1044	1044	0	0.0000	0	0.0000	0	0.0000
k127_1826107 flag=1 multi=1.0000 len=348	348	579	1.6638	4	187.4715	2	187.4715
k127_1826565 flag=1 multi=11.0000 len=799	799	2851	3.5682	20	408.2608	10	408.2608
k127_1827347 flag=1 multi=2.0000 len=410	410	0	0.0000	0	0.0000	0	0.0000
k127_1827803 flag=1 multi=5.0000 len=1281	1281	0	0.0000	0	0.0000	0	0.0000
k127_1828562 flag=0 multi=8.0231 len=1207	1207	0	0.0000	0	0.0000	0	0.0000
k127_1828623 flag=1 multi=3.0000 len=548	548	0	0.0000	0	0.0000	0	0.0000
k127_1828839 flag=1 multi=9.0000 len=350	350	1179	3.3686	8	372.8005	4	372.8005
k127_1829266 flag=1 multi=3.0000 len=675	675	0	0.0000	0	0.0000	0	0.0000
k127_1829750 flag=1 multi=1.0000 len=365	365	0	0.0000	0	0.0000	0	0.0000
k127_1830709 flag=1 multi=38.0000 len=6347	6347	0	0.0000	0	0.0000	0	0.0000
k127_1831878 flag=1 multi=2.0000 len=459	459	0	0.0000	0	0.0000	0	0.0000
k127_1832109 flag=1 multi=2.0000 len=895	895	0	0.0000	0	0.0000	0	0.0000
k127_1832567 flag=1 multi=2.0000 len=328	328	0	0.0000	0	0.0000	0	0.0000
k127_1832702 flag=1 multi=2.0000 len=813	813	2096	2.5781	14	280.8614	7	280.8614
k127_1833469 flag=1 multi=18.0000 len=487	487	0	0.0000	0	0.0000	0	0.0000
k127_1833720 flag=1 multi=5.0000 len=661	661	516	0.7806	4	98.6991	2	98.6991
k127_1834164 flag=1 multi=6.0000 len=1307	1307	0	0.0000	0	0.0000	0	0.0000
k127_1835696 flag=1 multi=17.0000 len=4668	4668	0	0.0000	0	0.0000	0	0.0000
k127_1836403 flag=1 multi=3.0000 len=526	526	562	1.0684	4	124.0306	2	124.0306
k127_1836746 flag=1 multi=2.0000 len=466	466	0	0.0000	0	0.0000	0	0.0000
k127_1837391 flag=1 multi=10.0000 len=1379	1379	2739	1.9862	21	248.3759	10	236.5485
k127_1837947 flag=1 multi=2.0000 len=705	705	0	0.0000	0	0.0000	0	0.0000
k127_1838453 flag=1 multi=3.0000 len=867	867	0	0.0000	0	0.0000	0	0.0000
k127_1838914 flag=0 multi=103.7165 len=2159	2159	0	0.0000	0	0.0000	0	0.0000
k127_1839315 flag=1 multi=3.0000 len=636	636	0	0.0000	0	0.0000	0	0.0000
k127_1839456 flag=1 multi=6.0000 len=773	773	0	0.0000	0	0.0000	0	0.0000
k127_1840609 flag=0 multi=11.7719 len=1267	1267	0	0.0000	0	0.0000	0	0.0000
k127_1840833 flag=1 multi=6.0000 len=531	531	0	0.0000	0	0.0000	0	0.0000
k127_1841614 flag=1 multi=2.0000 len=314	314	0	0.0000	0	0.0000	0	0.0000
k127_1842283 flag=1 multi=6.0000 len=1250	1250	0	0.0000	0	0.0000	0	0.0000
k127_1843293 flag=1 multi=3.0000 len=302	302	0	0.0000	0	0.0000	0	0.0000
k127_1843878 flag=1 multi=3.0000 len=849	849	0	0.0000	0	0.0000	0	0.0000
k127_1843923 flag=1 multi=1.0000 len=435	435	0	0.0000	0	0.0000	0	0.0000
k127_1843967 flag=1 multi=32.0000 len=6932	6932	0	0.0000	0	0.0000	0	0.0000
k127_1844969 flag=1 multi=13.0000 len=2299	2299	0	0.0000	0	0.0000	0	0.0000
k127_1845315 flag=1 multi=1.0000 len=332	332	0	0.0000	0	0.0000	0	0.0000
k127_1846026 flag=1 multi=19.4609 len=4629	4629	24226	5.2335	167	588.4151	83	584.8916
k127_1846092 flag=1 multi=2.0000 len=625	625	0	0.0000	0	0.0000	0	0.0000
k127_1846526 flag=1 multi=10.0000 len=553	553	0	0.0000	0	0.0000	0	0.0000
k127_1846761 flag=1 multi=1314.0000 len=4271	4271	0	0.0000	0	0.0000	0	0.0000
k127_1847435 flag=1 multi=5.0000 len=396	396	900	2.2727	6	247.1215	3	247.1215
k127_1848445 flag=1 multi=17.0000 len=3269	3269	0	0.0000	0	0.0000	0	0.0000
k127_1848825 flag=1 multi=2.0000 len=464	464	0	0.0000	0	0.0000	0	0.0000
k127_1850533 flag=0 multi=44.2714 len=1689	1689	0	0.0000	0	0.0000	0	0.0000
k127_1850773 flag=1 multi=12.0000 len=1528	1528	20640	13.5079	141	1505.0477	70	1494.3736
k127_1851233 flag=1 multi=5.0000 len=430	430	0	0.0000	0	0.0000	0	0.0000
k127_1851477 flag=1 multi=8.0000 len=734	734	300	0.4087	2	44.4415	1	44.4415
k127_1851786 flag=1 multi=7.0000 len=1548	1548	0	0.0000	0	0.0000	0	0.0000
k127_1852481 flag=1 multi=4.0000 len=556	556	0	0.0000	0	0.0000	0	0.0000
k127_1854120 flag=1 multi=2.0000 len=378	378	0	0.0000	0	0.0000	0	0.0000
k127_1855755 flag=1 multi=4.0000 len=444	444	1854	4.1757	13	477.5456	6	440.8114
k127_1855805 flag=1 multi=40.9790 len=9574	9574	269904	28.1914	1861	3170.3518	930	3168.6482
k127_1856316 flag=1 multi=4.0000 len=1788	1788	0	0.0000	0	0.0000	0	0.0000
k127_1857606 flag=1 multi=8.0000 len=642	642	0	0.0000	0	0.0000	0	0.0000
k127_1857860 flag=1 multi=1.0000 len=336	336	0	0.0000	0	0.0000	0	0.0000
k127_1858374 flag=1 multi=4.0000 len=709	709	1250	1.7630	9	207.0383	4	184.0341
k127_1858554 flag=1 multi=2.0000 len=389	389	0	0.0000	0	0.0000	0	0.0000
k127_1858592 flag=1 multi=48.0000 len=2211	2211	0	0.0000	0	0.0000	0	0.0000
k127_1858667 flag=1 multi=2.0000 len=425	425	0	0.0000	0	0.0000	0	0.0000
k127_1859188 flag=1 multi=12.0000 len=571	571	0	0.0000	0	0.0000	0	0.0000
k127_1859311 flag=1 multi=8.0000 len=580	580	0	0.0000	0	0.0000	0	0.0000
k127_1859784 flag=1 multi=12.0000 len=2745	2745	0	0.0000	0	0.0000	0	0.0000
k127_1859952 flag=1 multi=8.0000 len=4148	4148	0	0.0000	0	0.0000	0	0.0000
k127_1860004 flag=1 multi=16.0000 len=3780	3780	5037	1.3325	34	146.7039	17	146.7039
k127_1861194 flag=1 multi=1.0000 len=358	358	0	0.0000	0	0.0000	0	0.0000
k127_1861423 flag=1 multi=3.0000 len=503	503	0	0.0000	0	0.0000	0	0.0000
k127_1861937 flag=1 multi=3.0000 len=329	329	0	0.0000	0	0.0000	0	0.0000
k127_1862729 flag=1 multi=6.0000 len=1866	1866	5046	2.7042	35	305.9221	17	297.1815
k127_1862871 flag=1 multi=3.0000 len=327	327	0	0.0000	0	0.0000	0	0.0000
k127_1863714 flag=1 multi=3.0000 len=353	353	0	0.0000	0	0.0000	0	0.0000
k127_1865793 flag=1 multi=49.0000 len=396	396	0	0.0000	0	0.0000	0	0.0000
k127_1866331 flag=1 multi=1.0000 len=348	348	0	0.0000	0	0.0000	0	0.0000
k127_1867787 flag=1 multi=20.0000 len=1015	1015	0	0.0000	0	0.0000	0	0.0000
k127_1868431 flag=1 multi=5.0000 len=412	412	2455	5.9587	17	672.9863	8	633.3989
k127_1868442 flag=1 multi=3.0000 len=769	769	0	0.0000	0	0.0000	0	0.0000
k127_1870145 flag=1 multi=4.0000 len=912	912	0	0.0000	0	0.0000	0	0.0000
k127_1870741 flag=1 multi=7.0000 len=1308	1308	0	0.0000	0	0.0000	0	0.0000
k127_1870974 flag=1 multi=6.0000 len=1429	1429	0	0.0000	0	0.0000	0	0.0000
k127_1871233 flag=1 multi=4.0000 len=1049	1049	0	0.0000	0	0.0000	0	0.0000
k127_1871406 flag=1 multi=4.0000 len=381	381	0	0.0000	0	0.0000	0	0.0000
k127_1872388 flag=1 multi=2.0000 len=345	345	0	0.0000	0	0.0000	0	0.0000
k127_1873642 flag=1 multi=4.0000 len=572	572	0	0.0000	0	0.0000	0	0.0000
k127_1874018 flag=1 multi=16.0000 len=3787	3787	0	0.0000	0	0.0000	0	0.0000
k127_1874534 flag=1 multi=4.0000 len=632	632	0	0.0000	0	0.0000	0	0.0000
k127_1875020 flag=1 multi=7.0000 len=980	980	1122	1.1449	8	133.1430	4	133.1430
k127_1876108 flag=1 multi=7.0000 len=1672	1672	3098	1.8529	22	214.6055	11	214.6055
k127_1876328 flag=1 multi=1.0000 len=307	307	0	0.0000	0	0.0000	0	0.0000
k127_1876726 flag=1 multi=3.0000 len=360	360	0	0.0000	0	0.0000	0	0.0000
k127_1877028 flag=1 multi=2.0000 len=317	317	297	0.9369	2	102.9023	1	102.9023
k127_1877273 flag=1 multi=4.0000 len=864	864	0	0.0000	0	0.0000	0	0.0000
k127_1877543 flag=1 multi=3.0000 len=433	433	0	0.0000	0	0.0000	0	0.0000
k127_1878445 flag=1 multi=7.0000 len=907	907	0	0.0000	0	0.0000	0	0.0000
k127_1878907 flag=1 multi=5.0000 len=538	538	0	0.0000	0	0.0000	0	0.0000
k127_1879207 flag=1 multi=4.0000 len=418	418	299	0.7153	2	78.0384	1	78.0384
k127_1879958 flag=1 multi=9.0000 len=1225	1225	0	0.0000	0	0.0000	0	0.0000
k127_1881158 flag=1 multi=1.0000 len=502	502	0	0.0000	0	0.0000	0	0.0000
k127_1881795 flag=1 multi=3.0000 len=439	439	0	0.0000	0	0.0000	0	0.0000
k127_1882267 flag=1 multi=4.0000 len=606	606	0	0.0000	0	0.0000	0	0.0000
k127_1882573 flag=1 multi=5.0000 len=450	450	900	2.0000	6	217.4669	3	217.4669
k127_1883046 flag=1 multi=4.0000 len=505	505	0	0.0000	0	0.0000	0	0.0000
k127_1885062 flag=1 multi=3.0000 len=610	610	0	0.0000	0	0.0000	0	0.0000
k127_1885165 flag=1 multi=4.0000 len=553	553	0	0.0000	0	0.0000	0	0.0000
k127_1885302 flag=1 multi=1.0000 len=331	331	0	0.0000	0	0.0000	0	0.0000
k127_1886129 flag=1 multi=4.0000 len=805	805	0	0.0000	0	0.0000	0	0.0000
k127_1886341 flag=1 multi=2.0000 len=1115	1115	0	0.0000	0	0.0000	0	0.0000
k127_1886426 flag=1 multi=28.2254 len=899	899	0	0.0000	0	0.0000	0	0.0000
k127_1886458 flag=1 multi=3.0000 len=705	705	0	0.0000	0	0.0000	0	0.0000
k127_1886485 flag=1 multi=2.0000 len=537	537	561	1.0447	4	121.4899	2	121.4899
k127_1887366 flag=1 multi=5.0000 len=898	898	0	0.0000	0	0.0000	0	0.0000
k127_1887460 flag=1 multi=2.0000 len=598	598	0	0.0000	0	0.0000	0	0.0000
k127_1889942 flag=1 multi=4.0000 len=690	690	0	0.0000	0	0.0000	0	0.0000
k127_1890146 flag=1 multi=3.0000 len=352	352	0	0.0000	0	0.0000	0	0.0000
k127_1890273 flag=1 multi=24.0000 len=1543	1543	0	0.0000	0	0.0000	0	0.0000
k127_1890660 flag=1 multi=5.0000 len=591	591	2473	4.1844	17	469.1546	8	441.5572
k127_1891106 flag=1 multi=8.0000 len=525	525	0	0.0000	0	0.0000	0	0.0000
k127_1891465 flag=1 multi=3.0000 len=526	526	0	0.0000	0	0.0000	0	0.0000
k127_1891482 flag=1 multi=2.0000 len=322	322	0	0.0000	0	0.0000	0	0.0000
k127_1891636 flag=1 multi=6.0000 len=1143	1143	1118	0.9781	8	114.1559	4	114.1559
k127_1892196 flag=1 multi=2.0000 len=337	337	0	0.0000	0	0.0000	0	0.0000
k127_1892395 flag=1 multi=11.0000 len=689	689	0	0.0000	0	0.0000	0	0.0000
k127_1892608 flag=1 multi=18.0000 len=1234	1234	0	0.0000	0	0.0000	0	0.0000
k127_1894708 flag=1 multi=4.0000 len=348	348	0	0.0000	0	0.0000	0	0.0000
k127_1895009 flag=1 multi=17.0000 len=3548	3548	58798	16.5722	409	1880.1574	204	1875.5604
k127_1895540 flag=1 multi=60.0000 len=1609	1609	0	0.0000	0	0.0000	0	0.0000
k127_1896765 flag=1 multi=4.0000 len=718	718	0	0.0000	0	0.0000	0	0.0000
k127_1896924 flag=1 multi=20.0000 len=1583	1583	0	0.0000	0	0.0000	0	0.0000
